T,r,sigma,lamda,sigmaJ,muJ,Swap_Prices
0.417842191,0.45584609,0.361643431,0.522861776,0.678841148,0.864101216,0.762527228
1.992595359,0.347876204,0.29180066,0.415288777,0.107900642,0.386923661,0.153022601
0.417960543,0.69735743,0.632428841,0.441379577,0.668767552,0.155608775,0.615761481
0.755606411,0.763535358,0.49530829,0.293275619,0.27586701,0.521003307,0.351508762
1.399237081,0.747284982,0.757273189,0.483320843,0.845923768,0.112209413,0.928971045
0.933768441,0.675667536,0.481802048,0.105186374,0.775492324,0.22227829,0.299367581
1.453021119,0.21671363,0.539881783,0.447874378,0.42376119,0.884765873,0.716800148
0.246501861,0.530154155,0.866498199,0.714080404,0.342038596,0.395428171,0.942760763
0.39097912,0.468854979,0.865272258,0.347647303,0.49767068,0.401959406,0.899153346
1.890550119,0.113317644,0.376818524,0.232132239,0.826943575,0.247526677,0.31212913
1.164381504,0.46534276,0.397708325,0.31069478,0.424102107,0.817464901,0.418413241
0.725221097,0.751074832,0.123815741,0.544294585,0.486909705,0.613941404,0.352822323
1.96053407,0.509987472,0.883926698,0.200144508,0.386279684,0.718455001,0.914282485
1.203646072,0.725997558,0.768031095,0.169455663,0.646090243,0.182435748,0.673780796
1.521013854,0.796589899,0.515263706,0.124574983,0.624029303,0.849555065,0.405358216
1.932648994,0.426191585,0.770315183,0.742125624,0.259949843,0.200227424,0.673044169
1.608756773,0.346599411,0.537735703,0.294666987,0.464644017,0.415516061,0.400800936
1.082625361,0.448338884,0.883376387,0.270628817,0.708659669,0.798063511,1.10294864
1.067829899,0.405616085,0.842623671,0.734292017,0.111062531,0.590585279,0.974549223
1.156991875,0.357506827,0.383598282,0.755836066,0.334979382,0.433643471,0.38145864
0.345137027,0.588363868,0.549896955,0.280793921,0.279011075,0.178927788,0.33736682
0.626086265,0.159187479,0.66413914,0.337953887,0.131652398,0.398921686,0.50336348
0.889626875,0.72745479,0.429239431,0.19523613,0.597603174,0.387838213,0.279629621
0.167570399,0.577093842,0.672723159,0.152796492,0.257859217,0.860016348,0.574438847
1.377723466,0.720633157,0.141304411,0.117136096,0.278610658,0.172839782,0.032646479
0.320441353,0.68647486,0.300848935,0.327387544,0.525250729,0.426279724,0.250358486
0.81277964,0.14100262,0.14389558,0.433195199,0.346742561,0.427099524,0.155002524
1.474653791,0.40157203,0.186365322,0.188996616,0.138037549,0.571783717,0.100051055
0.549502487,0.288707569,0.886361366,0.175551261,0.692830826,0.865586572,0.987979121
