T,r,sigma,lamda,sigmaJ,muJ,Swap_Prices
1.4599352,0.288799243,0.751097725,0.428439225,0.582535721,0.12640234,0.832517135
0.947904045,0.632782059,0.47829298,0.672978554,0.884362184,0.302172833,0.766567702
1.611922921,0.404880915,0.451837348,0.175124904,0.2340988,0.384028435,0.48350923
1.493696857,0.714940646,0.254007016,0.23110585,0.703248738,0.657747252,0.403929065
1.268001137,0.165730372,0.638234209,0.326157796,0.126118624,0.395011162,0.676762982
0.619564629,0.217412522,0.770504878,0.479445288,0.51323477,0.649357586,0.906433154
1.619232935,0.271541108,0.253827595,0.263576301,0.531144883,0.409244229,0.365248467
1.43323975,0.168528284,0.234136652,0.785199785,0.235213729,0.466507575,0.464069529
0.89408063,0.582292856,0.800569654,0.213717833,0.387454639,0.748254834,0.866197196
0.382528273,0.273479393,0.323108788,0.616002759,0.160213045,0.367571314,0.405146748
0.564542418,0.739110278,0.562845524,0.262564834,0.871573017,0.589454706,0.67283585
0.715052978,0.265550475,0.3513081,0.10319117,0.24948585,0.207633481,0.362253456
1.64665737,0.500446973,0.167329097,0.683259016,0.824854876,0.565600782,0.640608477
0.266099852,0.40990139,0.383925214,0.228925597,0.839067823,0.873567242,0.481632269
1.541180273,0.736326686,0.797632713,0.672784539,0.895729206,0.780820865,1.155968377
1.605438584,0.19572309,0.526233182,0.538180071,0.156174954,0.751792325,0.739217741
1.79340958,0.310858065,0.66473876,0.385037412,0.587448557,0.160359992,0.74772713
0.159819847,0.27719374,0.348542098,0.768459448,0.378568448,0.142167407,0.416968935
0.467171164,0.445101885,0.199998079,0.590763719,0.425879878,0.804071562,0.468723221
0.912255873,0.108738391,0.429852325,0.35994988,0.700134837,0.78898851,0.626885449
1.250360132,0.337198193,0.110601583,0.612397691,0.147253885,0.891333789,0.550886425
1.128170728,0.387309881,0.70336015,0.117668443,0.149883192,0.173777032,0.707570353
1.610902819,0.250979287,0.299606755,0.179317889,0.3583088,0.854671436,0.423324713
0.623490717,0.720270737,0.606040662,0.536027369,0.851697917,0.708030264,0.847407931
1.548098958,0.340236703,0.834318409,0.110322619,0.643494911,0.532093129,0.871149517
1.970427684,0.336916076,0.279586371,0.114101447,0.825768949,0.400718389,0.35663519
1.882724129,0.649975198,0.497618585,0.524492329,0.553190452,0.825186868,0.801958328
1.489037164,0.711772846,0.331658543,0.574299236,0.241603395,0.237995999,0.405208746
