Expiry,MAPE,a,b,rho,mu,sigma
0.003968254,5.645928616,0.147952344,4.64959544,0.049563964,4.603396494,-0.0383512
0.023809524,2.811909548,0.187416077,2.00206157,-0.085767522,4.608521292,0.080361481
0.043650794,2.951941141,0.286269633,1.118342071,0.104027958,4.659622823,0.015959691
0.063492063,0.613112767,-0.680988074,2.312551307,0.218484673,4.788342256,0.485485693
0.083333333,0.654735453,-5.200800399,4.698973832,0.01657558,4.709753196,-1.189800839
0.103174603,0.529187643,-5.545469592,4.377121127,0.013591585,4.717609549,-1.351547796
0.123015873,0.968995254,-7.212645261,8.97764555,-0.720985367,3.426393578,1.216510385
0.142857143,0.29644704,-8.268759825,4.301954296,-0.026302073,4.665376784,-2.002879944
0.202380952,1.163857847,-6.67116633,9.988502924,-0.806801644,3.073039354,1.185842954
0.281746032,1.720154331,-4.778177487,3.814940449,-0.550584141,3.664514627,1.597767931
0.46031746,1.48476457,-4.194181438,2.263140449,-0.343925395,3.998998028,2.114613277
0.53968254,1.290397273,-6.055658722,2.78093295,-0.469958152,3.409737792,2.585961581
0.817460317,1.162710548,-1.396326912,1.70879413,-0.761162985,3.152370773,1.517808261
Overall:,1.638010925,,,,,
