Expiry,MAPE,a,b,rho,mu,sigma
0.05,1.81E-06,0.0025,0.951229425,0.99875026,1.05,0.01
0.1,3.50E-07,0.01,0.904837418,0.995004165,1.1,0.01
0.15,6.81E-08,0.0225,0.860707976,0.988771078,1.15,0.01
0.2,5.47E-08,0.04,0.818730753,0.980066578,1.2,0.01
0.3,4.21E-08,0.09,0.740818221,0.955336489,1.3,0.01
0.4,2.53E-09,0.16,0.670320046,0.921060994,1.4,0.01
0.5,2.26E-08,0.25,0.60653066,0.877582562,1.5,0.01
0.7,1.95E-08,0.49,0.496585304,0.764842187,1.7,0.01
0.8,1.50E-08,0.64,0.449328964,0.696706709,1.8,0.01
1,9.35E-09,1,0.367879441,0.540302306,2,0.01
1.2,9.10E-09,1.44,0.301194212,0.362357754,2.2,0.01
2,9.09E-09,4,0.135335283,-0.416146837,3,0.01
